p_id,reviewer,review_head,review_text,star,Positive,Negative,neutral,compound
flipkart0,Muhammad Tahir,Delightful,"Edit 1: Wireless charging worth it,50w is true still battery consumption is high,if u want to save battery pls change ur refresh rate to 60Hz,increasing 1 star nowI purchased it on flash sale on 9th April was excited abt this phone but trust me I will share my honest opinion here Pro's:1)Display is awesome2)precise edge cut,the feel in ur hand is awesome 3)Dolby Atmos is the best addition 4) performance is flawless 5)real 120hz,u can feel itCons:1)rear camera is very good, excellent ...",4,0.44,0,0.56,0.9943
flipkart0,Renu Negi,Nice product,Nice camera and display..... Beautiful design... Great phone for girls,4,0.607,0,0.393,0.8957
flipkart0,Souvik Kanjilal,Good quality product,"Writing this review after 2 weeks usage.....Few things which I liked and things which could be better are listed below, based on the experience I had so far :- Good Things :- 1) Camera Quality is superb....both front and Rear cera quality is awesome and it gives a proper colour tone2) Battery life is good and the 68Watt charger really helps to get 100% charge from 30% within 15 minsax3) Screen quality and display is awesome4) Very less number of pre-installed apps, so you save lot of spa...",4,0.236,0,0.764,0.9702
flipkart0,Aniket  Gaurav,Super!,"Very smooth phone, you will get the flagship experience in this range... Camera is also really good 💯... But one thing I would like to request Motorola to provide App Lock in the settings... Rest everything is fine..",5,0.161,0,0.839,0.6753
flipkart0,Sashwati Mandal,Best in the market!,"Loved it! such a beautiful phone it is . smooth like makhkhan.Camera 10(better than realme)Display 10(better than realme)Battery 8Sound 10Performance 8No heating issues after 2,3 hours of continuous scrolling.",5,0.306,0,0.694,0.8908
flipkart0,Jayashankar Veeraraghavan,Wonderful,Mobile is goodDisplay is very goodPerformance - I wont play games. So it is goodCamera - Need improvement. But good as of now.Battery - Charges very quick and drains little bit. But okayNo heating while using. Heating seen while charging.,4,0.139,0.102,0.759,0.3716
flipkart0,Chinmaya Chandrashekara,Nice product,"1.Phone is light weight2.Display is good3.As per 3 days of usage battery backup is good4.No issues with call quality5.Phone do heat up little bit but manageable6.Camera quality is good7.With 68 W charger phone charges quick8.If you had used a bigger display phone earlier, then you may take few days to adjust as the display width is less compared to other phones which has the similar display size. Also curve display will take some time to get used to.Over all phone is very good, looks...",4,0.05,0.031,0.919,0.3898
flipkart0,Rao  Jafer,Pretty good,One of the best phone in this price range,4,0.344,0,0.656,0.6369
flipkart0,John Chhatani,Classy product,Super mobile Paisa vasool and best colour moonlight pearl like ice cube 😍,5,0.541,0,0.459,0.891
flipkart0,Palanisamy R,Excellent,"Best in the market, it will tough to other company phones",5,0.286,0.102,0.612,0.5719
flipkart0,Yangya Sahoo,Brilliant,The best Camera phone in this range. The biggest issue is over heating while use camera.,5,0.219,0,0.781,0.6369
flipkart0,Hansraj Aaryan,Highly recommended,"Fantastic phone.Hello UI gives stock android like experience. The UI is smooth and easily handle day to day apps.Camera combination is superb. Gives tru to life natural pictures.Display is vivid. 68 watt charger is super fast and charges the phone very very quickly. Within 10 minutes, battery percentage rises by almost 30.Looks and design are awesome. At this price, it's a great phone with charger and case in the box.Only con so far is the screen tempered glass which is included in th...",5,0.266,0.021,0.714,0.9779
flipkart0,Rony  Konar,Classy product,Well priced phone with the features of that it gives specially the processing of camera quality,5,0.123,0,0.877,0.2732
flipkart0,Kartik Katara,Terrific purchase,"Pros- 1. Top Notch and Superb Display2. Crystal clear and loud speakers.3. Call Quality is absolutely amazing.4. Camera Quality is great.5. Even though it is a 68w variant, it charges 20%to100% in just 20-22 minutes after turning on the charge boost option.6. In-hand it feels like a flagship.7. Network Reception is fantastic even in areas where the network is not that good, getting constant 5g+. One of the best phone in terms of network Reception and Call quality.Cons- 1. The camera...",5,0.224,0.047,0.729,0.9516
flipkart0,Upma  Sharma,Awesome,"Camera, display, performance everything is top notch, The only thing I didn't like is the battery, it is draining kind of fast but I am guessing it is because the battery is adapting to my usage, will update after sometime. The shots are taken from 0.5x, 1x, 3x 10x range.",5,0.029,0.032,0.94,-0.04
flipkart0,Dev Kumar,Mind-blowing purchase,Best phone  portrait pics u will love it  every things is osm,5,0.483,0,0.517,0.8555
flipkart0,Nitin Kumar ,Just wow!,Always trustable product by Motorola Thank you Moto 🐒,5,0.492,0,0.508,0.7003
flipkart0,rahul jaiswal,Good quality product,"Overall Very good phone, with nice camera",4,0.545,0,0.455,0.7178
flipkart0,Ujjwal Gaurav,Simply awesome,"Camera, display and audio clarity is amazing.  Software and UI experience is excellent, near to stock Android experience like pixel, along with couple of great moto gestures and features. Battery last only a day hardly with moderate usage.",5,0.344,0,0.656,0.9501
flipkart0,Sharwan Suthar,Value-for-money,Over all good but feel heating issue. Mobile delivered today so i will update after 7 day uses.,4,0.115,0,0.885,0.2382
flipkart0,Smeet Patel,Really Nice,Phone is Excellent.,4,0.649,0,0.351,0.5719
flipkart0,Divyesh Sondarva,Super!,"Bought it yesterday. Camera excellent, speed excellent, display excellent,look excellent. Let it try for 1 months and get back soon for review",5,0.381,0,0.619,0.9022
flipkart0,Pranit Saikia,Wonderful,1.nice camera for photos but rear camera lagging2.best display 3.good looking 4. hitting issue.....Please push some update for hitting issue and lagging camera,4,0,0.108,0.892,-0.3919
flipkart0,Prasenjit Shaw,Terrific,"This is a Awesome Product by Moto. Camera, processor, Display Everything is Beyond expectations in this price point. But there are some issues like the Screen Protector in the box is very cheap in quality. too much hot while charging. Battery should be 5000mh. Battery drains too much.I ordered it on the opening day and get delivered on the same day.I am quite Happy with the Product",5,0.152,0,0.848,0.906
